,label
xor2172,5
xor3258,7
xor3940,4
xor1023,6
xor2098,5
xor2368,4
xor2577,9
xor2903,7
xor3510,5
xor549,6
xor740,5
xor3260,6
xor3730,5
xor3911,7
xor521,6
xor1711,2
xor3016,6
xor3155,5
xor3853,5
xor343,4
xor843,6
xor1217,5
xor2357,3
xor2662,5
xor3452,5
xor3472,5
xor1159,4
xor1282,6
xor3100,6
xor1252,5
xor3335,5
xor39,6
xor142,5
xor157,4
xor192,4
xor1327,4
xor1333,5
xor1808,4
xor1874,4
xor2895,8
xor2973,6
xor3184,6
xor462,3
xor1289,3
xor3458,5
xor3772,2
xor826,7
xor1692,4
xor3855,5
xor280,4
xor2747,6
xor2797,4
xor1974,3
xor2425,5
xor2993,7
xor3543,2
xor568,7
xor753,4
xor794,3
xor870,6
xor1143,5
xor1620,4
xor3803,3
xor653,5
xor3490,5
xor13,5
xor44,5
xor793,4
xor1136,5
xor2703,5
xor3372,4
xor3934,5
xor458,5
xor1047,4
xor1575,4
xor1654,5
xor764,4
xor909,6
xor1117,4
xor1223,6
xor2560,7
xor2605,7
xor2659,7
xor2712,4
xor3154,7
xor1492,4
xor1519,5
xor2128,5
xor3431,6
xor3547,3
xor3166,6
xor3907,4
xor120,4
xor1404,6
xor3906,4
xor1018,5
xor1175,6
xor2576,9
xor2094,4
xor2166,6
xor3105,6
xor338,3
xor664,4
xor2300,2
xor2386,4
xor2739,6
xor3691,4
xor628,5
xor1914,3
xor548,6
xor1849,4
xor2502,4
xor2705,5
xor2335,5
xor2474,5
xor1818,3
xor3529,6
xor23,5
xor55,5
xor1420,6
xor2969,5
xor312,4
xor1769,0
xor2110,6
xor2843,5
xor2119,5
xor635,3
xor1232,6
xor1786,4
xor2676,5
xor3137,5
xor74,6
xor405,3
xor425,4
xor541,7
xor1551,4
xor1839,4
xor2180,4
xor2342,5
xor2854,5
xor3417,7
xor3928,5
xor959,6
xor1392,5
xor1793,5
xor3379,3
xor3742,6
xor852,7
xor3139,5
xor3188,5
xor3655,5
xor2194,5
xor2312,2
xor4147,3
xor944,6
xor1501,3
xor2210,6
xor2508,5
xor3506,5
xor3779,2
xor491,7
xor1099,4
xor1872,3
xor4019,5
xor100,4
xor272,4
xor1491,5
xor3240,7
xor3361,5
xor3525,3
xor4084,7
xor1355,6
xor2049,2
xor2341,5
xor3391,5
xor329,5
xor414,7
xor773,4
xor1919,4
xor2057,4
xor2578,8
xor2582,7
xor3182,6
xor3856,3
xor264,4
xor384,5
xor1203,7
xor1407,4
xor1521,7
xor2617,7
xor2864,4
xor3217,5
xor4018,4
xor228,5
xor3536,3
xor3727,4
xor117,3
xor155,3
xor3522,4
xor3850,7
xor4079,3
xor2607,7
xor3842,1
xor140,4
xor1602,4
xor1634,2
xor3825,1
xor3828,2
xor210,4
xor3001,5
xor3979,4
xor26,5
xor298,3
xor426,4
xor1150,5
xor1604,5
xor1972,4
xor2670,5
xor2804,5
xor11,6
xor118,5
xor368,5
xor2856,5
xor1240,5
xor3981,4
xor603,4
xor1065,4
xor1229,6
xor1279,6
xor1976,2
xor2147,5
xor2717,6
xor3385,6
xor908,6
xor1848,4
xor1944,3
xor2520,3
xor4129,4
xor7,6
xor774,5
xor900,7
xor1929,3
xor2431,5
xor2437,4
xor3480,6
xor3624,4
xor202,4
xor872,6
xor1698,5
xor2150,6
xor2353,4
xor3848,1
xor504,7
xor978,6
xor366,5
xor404,6
xor1431,4
xor1788,5
xor1891,4
xor2311,5
xor4105,3
xor2070,4
xor2883,6
xor3896,6
xor24,6
xor349,5
xor351,6
xor1068,4
xor3093,5
xor2090,6
xor2461,5
xor3944,3
xor124,5
xor1916,2
xor2208,5
xor2825,6
xor931,5
xor3635,4
xor902,8
xor2107,6
xor3437,5
xor4110,3
xor126,6
xor830,6
xor2023,3
xor4102,4
xor244,5
xor776,4
xor2162,4
xor2942,6
xor3717,4
xor2289,5
xor2597,6
xor2748,5
xor190,4
xor283,5
xor887,6
xor1176,3
xor2016,3
xor3107,6
xor3024,5
xor3026,6
xor1621,4
xor2586,6
xor2669,6
xor463,2
xor4074,5
xor2283,3
xor2763,7
xor2894,6
xor1131,6
xor1587,4
xor3778,2
xor3923,3
xor1389,5
xor1546,5
xor2459,4
xor2994,6
xor1309,6
xor1650,4
xor233,4
xor654,5
xor882,6
xor2106,6
xor2792,5
xor3363,3
xor3650,4
xor4036,0
xor791,4
xor1172,5
xor1192,7
xor2269,4
xor323,3
